name,bgg_link,playable,for_sale,price,blurb,pick_by,pick_note,rating,play_style,expansion,players,age,time,category
Wingspan,https://boardgamegeek.com/boardgame/266192,yes,yes,~$80,"Everdell's feathered rival, the engine-builder that made birds cool",Sam,Great with two,,,,,,,
Azul,https://boardgamegeek.com/boardgame/230802/azul,yes,,,"Cascadia's abstract cousin, pattern-drafting tiles",,,,,,,,,
7 Wonders,https://boardgamegeek.com/boardgame/68448,yes,,,"Sushi Go grown up, the benchmark drafting game",,,,,,,,,
Codenames,https://boardgamegeek.com/boardgame/178900,yes,,,the party-deduction benchmark. Just One is its co-op cousin,,,,,,,,,
Ticket to Ride,https://boardgamegeek.com/boardgame/9209,yes,,,"Carcassonne on rails, the other gateway classic",,,,,,,,,
Carcassonne,https://boardgamegeek.com/boardgame/822,yes,yes,~$80,Dorfromantik's competitive ancestor,,,,,,,,,
Splendor,https://boardgamegeek.com/boardgame/148228,yes,,,Century: Golem Edition's engine-building twin,,,,,,,,,
Pandemic,https://boardgamegeek.com/boardgame/30549,yes,,,THE co-op gateway. Cure the world together,,,,,,,,,
Everdell,https://boardgamegeek.com/boardgame/199792,yes,,,Wingspan crossed with Lords of Waterdeep,,,,,,,,,
Root,https://boardgamegeek.com/boardgame/237182,yes,,,asymmetric woodland warfare. Every faction plays a different game,,,,,,,,,
Dixit,https://boardgamegeek.com/boardgame/39856,yes,yes,~$80,Mysterium's picture-poetry sibling,,,,,,,,,
Just One,https://boardgamegeek.com/boardgame/254640,yes,,,Codenames' co-op cousin,Alex,Never not funny,,,,,,,
Cascadia,https://boardgamegeek.com/boardgame/295947/cascadia,yes,,,Azul-adjacent tile drafting with wildlife,,,,,,,,,
Terraforming Mars,https://boardgamegeek.com/boardgame/167791,yes,,,"the engine-builder about greening Mars, Ark Nova's space rival",,,,,,,,,
Ark Nova,https://boardgamegeek.com/boardgame/342942,yes,,,Terraforming Mars with zoos,,,,,,,,,
Wavelength,https://boardgamegeek.com/boardgame/262543,yes,yes,~$80,Hues and Cues for concepts instead of colours,,,,,,,,,
Betrayal at House on the Hill,https://boardgamegeek.com/boardgame/10547,yes,,,Dead of Winter's haunted-house little sibling,,,,,,,,,
Kingdomino,https://boardgamegeek.com/boardgame/204583,yes,,,Carcassonne simplified into a 5x5 kingdom,,,,,,,,,
Coup,https://boardgamegeek.com/boardgame/131357,yes,,,Love Letter with lying,,,,,,,,,
